CN Code;Description;Conventional rate of duty (%);Supplementary unit;Conventional Rate of duty (%);Note;CAS RN;Name;Chapter;Section;Section Name;Chapter Name
1103;Cereal groats, meal and pellets:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 11;– – Of wheat:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 11 10;– – – Durum wheat;267 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 11 90;– – – Common wheat and spelt;186 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 13;– – Of maize (corn):;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 13 10;– – – Of a fat content not exceeding 1,5 % by weight;173 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 13 90;– – – Other;98 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 19;– – Of other cereals:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 19 20;– – – Of rye or barley;171 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 19 40;– – – Of oats;164 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 19 50;– – – Of rice;138 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 19 90;– – – Other;98 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 20;– Pellets:;;;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 20 25;– – Of rye or barley;171 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
1103 20 30;– – Of oats;164 €/t;—;;;;;11;II;VEGETABLE PRODUCTS;"PRODUCTS OF THE MILLING INDUSTRY; MALT; STARCHES; INULIN; WHEAT GLUTEN"
